reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUS,X,2003,3.0,42175968632.0,63.45
AUS,X,2004,0.0,14268732701.0,17.42
AUS,X,2004,1.0,6229134918.0,7.61
AUS,X,2004,2.0,11915471663.0,14.55
AUS,X,2004,3.0,49481338499.0,60.42
AUS,X,2005,0.0,18399569723.0,18.44
AUS,X,2005,1.0,7740080196.0,7.76
AUS,X,2005,2.0,14809686388.0,14.84
AUS,X,2005,3.0,58853177828.0,58.97
AUS,X,2006,0.0,23072742497.0,19.82
AUS,X,2006,1.0,8987895762.0,7.72
AUS,X,2006,2.0,17036755747.0,14.64
AUS,X,2006,3.0,67285163688.0,57.81
AUS,X,2007,0.0,28961178747.0,21.67
AUS,X,2007,1.0,13618645792.0,10.19
AUS,X,2007,2.0,15042223169.0,11.26
AUS,X,2007,3.0,76019817725.0,56.88
AUS,X,2008,0.0,43111010312.0,24.38
AUS,X,2008,1.0,14357659020.0,8.12
AUS,X,2008,2.0,18948046814.0,10.72
AUS,X,2008,3.0,100402949514.0,56.78
AUS,X,2009,0.0,41150645892.0,28.05
AUS,X,2009,1.0,15924988904.0,10.85
AUS,X,2009,2.0,16952842758.0,11.55
AUS,X,2009,3.0,72698276772.0,49.55
AUS,X,2010,0.0,63383806888.0,31.41
AUS,X,2010,1.0,20137002038.0,9.98
AUS,X,2010,2.0,22950248914.0,11.37
AUS,X,2010,3.0,95347302473.0,47.24
AUS,X,2011,0.0,85224188758.0,33.18
AUS,X,2011,1.0,25505426891.0,9.93
AUS,X,2011,2.0,27333676464.0,10.64
AUS,X,2011,3.0,118815278266.0,46.25
AUS,X,2012,0.0,86536940664.0,35.3
AUS,X,2012,1.0,25563512000.0,10.43
AUS,X,2012,2.0,23278023024.0,9.5
AUS,X,2012,3.0,109779993466.0,44.78
AUS,X,2013,0.0,96814989047.0,45.6
AUS,X,2013,1.0,20849034447.0,9.82
AUS,X,2013,2.0,16885283322.0,7.95
AUS,X,2013,3.0,77785975922.0,36.63
AUS,X,2014,0.0,94355433609.0,41.65
AUS,X,2014,1.0,23668000358.0,10.45
AUS,X,2014,2.0,17612544281.0,7.78
AUS,X,2014,3.0,90890567963.0,40.12
AUS,X,2015,0.0,75114967395.0,42.67
AUS,X,2015,1.0,13825538180.0,7.85
AUS,X,2015,2.0,16263097986.0,9.24
AUS,X,2015,3.0,70842613687.0,40.24
AUS,X,2016,0.0,78036805288.0,43.84
AUS,X,2016,1.0,12363619236.0,6.94
AUS,X,2016,2.0,16384270406.0,9.2
AUS,X,2016,3.0,71238871461.0,40.02
AUS,X,2017,0.0,87767208741.76399,46.3
AUS,X,2017,1.0,12673950842.607,6.69
AUS,X,2017,2.0,21607632839.64,11.4
AUS,X,2017,3.0,67500781482.858,35.61
AUS,X,2018,0.0,93740746603.50801,47.01
AUS,X,2018,1.0,25391355405.621002,12.73
AUS,X,2018,2.0,10055775449.95,5.04
AUS,X,2018,3.0,70218469000.108,35.21
AUS,X,2019,0.0,99509451189.951,47.07
AUS,X,2019,1.0,29028101446.156998,13.73
AUS,X,2019,2.0,7290807964.116,3.45
AUS,X,2019,3.0,75583374080.954,35.75
AUS,X,2020,0.0,103361604561.063,48.35
AUS,X,2020,1.0,27475608020.582,12.85
AUS,X,2020,2.0,6329525270.34,2.96
AUS,X,2020,3.0,76606752242.29,35.84
AUS,X,2021,0.0,130094892700.805,48.53
AUS,X,2021,1.0,38837863914.555,14.49
AUS,X,2021,2.0,13006862414.642,4.85
AUS,X,2021,3.0,86125228752.076,32.13
AUS,X,2022,0.0,129039286370.625,42.67
AUS,X,2022,1.0,39356492353.082,13.01
AUS,X,2022,2.0,14017566167.817,4.64
AUS,X,2022,3.0,120007529730.08499,39.68
AUS,X,2023,0.0,146107925678.15698,50.01
AUS,X,2023,1.0,37365865843.723,12.79
AUS,X,2023,2.0,14138917058.913,4.84
AUS,X,2023,3.0,94563835911.208,32.37
AUS,X,2024,0.0,125457569608.70499,45.91
AUS,X,2024,1.0,35634561245.339,13.04
AUS,X,2024,2.0,20682970940.817,7.57
