reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,refYear,primaryValue
76,BRA,Brazil,72,BWA,Botswana,M,Import,2000,258451
76,BRA,Brazil,76,BRA,Brazil,M,Import,2000,124477282
76,BRA,Brazil,84,BLZ,Belize,M,Import,2000,272623
76,BRA,Brazil,86,IOT,Br. Indian Ocean Terr.,M,Import,2000,22622
76,BRA,Brazil,92,VGB,Br. Virgin Isds,M,Import,2000,7246222
76,BRA,Brazil,100,BGR,Bulgaria,M,Import,2000,6384517
76,BRA,Brazil,104,MMR,Myanmar,M,Import,2000,7313
76,BRA,Brazil,108,BDI,Burundi,M,Import,2000,3125
76,BRA,Brazil,112,BLR,Belarus,M,Import,2000,68230461
76,BRA,Brazil,116,KHM,Cambodia,M,Import,2000,399483
76,BRA,Brazil,120,CMR,Cameroon,M,Import,2000,5750
76,BRA,Brazil,124,CAN,Canada,M,Import,2000,1195335769
76,BRA,Brazil,132,CPV,Cabo Verde,M,Import,2000,31276
76,BRA,Brazil,136,CYM,Cayman Isds,M,Import,2000,8197049
76,BRA,Brazil,140,CAF,Central African Rep.,M,Import,2000,885180
76,BRA,Brazil,144,LKA,Sri Lanka,M,Import,2000,3109975
76,BRA,Brazil,148,TCD,Chad,M,Import,2000,3486386
76,BRA,Brazil,152,CHL,Chile,M,Import,2000,1035104822
76,BRA,Brazil,156,CHN,China,M,Import,2000,1341112960
76,BRA,Brazil,166,CCK,Cocos Isds,M,Import,2000,98762
76,BRA,Brazil,170,COL,Colombia,M,Import,2000,440518118
76,BRA,Brazil,174,COM,Comoros,M,Import,2000,25734
76,BRA,Brazil,178,COG,Congo,M,Import,2000,77481104
76,BRA,Brazil,180,COD,Dem. Rep. of the Congo,M,Import,2000,166974
76,BRA,Brazil,188,CRI,Costa Rica,M,Import,2000,31083203
76,BRA,Brazil,191,HRV,Croatia,M,Import,2000,1200901
76,BRA,Brazil,192,CUB,Cuba,M,Import,2000,21503296
76,BRA,Brazil,196,CYP,Cyprus,M,Import,2000,918458
76,BRA,Brazil,203,CZE,Czechia,M,Import,2000,46990523
76,BRA,Brazil,204,BEN,Benin,M,Import,2000,31361571
