reporterISO,flowCode,refYear,regime_index,primaryValue
BRA,X,2009,2.0,29680695806.0
BRA,X,2009,3.0,65708891741.0
BRA,X,2010,0.0,41236218517.0
BRA,X,2010,1.0,23294852748.0
BRA,X,2010,2.0,40656633800.0
BRA,X,2010,3.0,85550571459.0
BRA,X,2011,0.0,56848180210.0
BRA,X,2011,1.0,28409441082.0
BRA,X,2011,2.0,47374819463.0
BRA,X,2011,3.0,109172918761.0
BRA,X,2012,0.0,53838582966.0
BRA,X,2012,1.0,26814187640.0
BRA,X,2012,2.0,46676230178.0
BRA,X,2012,3.0,102448296505.0
BRA,X,2013,0.0,61797652367.0
BRA,X,2013,1.0,22364422953.0
BRA,X,2013,2.0,46332194115.0
BRA,X,2013,3.0,94315788865.0
BRA,X,2014,0.0,56475906892.0
BRA,X,2014,1.0,23742794790.0
BRA,X,2014,2.0,40659262509.0
BRA,X,2014,3.0,91234456654.0
BRA,X,2015,0.0,49388496956.0
BRA,X,2015,1.0,18950868089.0
BRA,X,2015,2.0,36776485393.0
BRA,X,2015,3.0,75704976839.0
BRA,X,2016,0.0,48307622560.0
BRA,X,2016,1.0,17497497795.0
BRA,X,2016,2.0,37346156134.0
BRA,X,2016,3.0,72001430007.0
BRA,X,2017,0.0,62454315553.0
BRA,X,2017,1.0,25822630107.0
BRA,X,2017,2.0,40868781458.0
BRA,X,2017,3.0,80657005944.0
BRA,X,2018,0.0,75955983593.0
BRA,X,2018,1.0,25265545197.0
BRA,X,2018,2.0,44584924507.0
BRA,X,2018,3.0,82025632252.0
BRA,X,2019,0.0,75849673192.0
BRA,X,2019,1.0,26529794974.0
BRA,X,2019,2.0,36691290346.0
BRA,X,2019,3.0,79826549778.0
BRA,X,2020,0.0,79783880444.0
BRA,X,2020,1.0,28215629839.0
BRA,X,2020,2.0,35258176699.0
BRA,X,2020,3.0,63967820639.0
BRA,X,2021,0.0,107468727157.0
BRA,X,2021,1.0,32831794785.0
BRA,X,2021,2.0,39074314036.0
BRA,X,2021,3.0,99011666535.0
BRA,X,2022,0.0,114610134119.0
BRA,X,2022,1.0,40539519363.0
BRA,X,2022,2.0,55594691694.0
BRA,X,2022,3.0,120937057260.0
BRA,X,2023,0.0,124908383358.0
BRA,X,2023,1.0,36149505901.0
BRA,X,2023,2.0,68037594331.0
BRA,X,2023,3.0,107266518223.0
BRA,X,2024,0.0,115350529203.0
BRA,X,2024,1.0,48734956783.0
BRA,X,2024,2.0,66454269344.0
BRA,X,2024,3.0,103150329698.0
BWA,M,2000,0.0,18909841.0
BWA,M,2000,1.0,83437587.0
BWA,M,2000,2.0,13903566.0
BWA,M,2000,3.0,1946174300.0
BWA,M,2001,0.0,9845989.0
BWA,M,2001,1.0,69843616.0
BWA,M,2001,2.0,12923390.0
BWA,M,2001,3.0,1705626659.0
BWA,M,2002,0.0,29866105.0
BWA,M,2002,1.0,105728803.0
BWA,M,2002,2.0,41607148.0
BWA,M,2002,3.0,3182751614.0
BWA,M,2003,0.0,45552549.0
BWA,M,2003,1.0,41115579.0
BWA,M,2003,2.0,32226278.0
BWA,M,2003,3.0,3837776116.0
BWA,M,2004,0.0,36504842.0
BWA,M,2004,1.0,66744849.0
BWA,M,2004,2.0,35349542.0
BWA,M,2004,3.0,3092532215.0
BWA,M,2005,0.0,53989420.0
BWA,M,2005,1.0,73216706.0
BWA,M,2005,2.0,48803861.0
BWA,M,2005,3.0,2982642914.0
BWA,M,2006,0.0,58179474.0
BWA,M,2006,1.0,96199313.0
