reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUS,X,2003,3.0,42219715546.0,63.52
AUS,X,2004,0.0,14267683408.0,17.42
AUS,X,2004,1.0,6953561812.0,8.49
AUS,X,2004,2.0,11183791404.0,13.66
AUS,X,2004,3.0,49489641157.0,60.43
AUS,X,2005,0.0,18178078892.0,18.21
AUS,X,2005,1.0,8097504678.0,8.11
AUS,X,2005,2.0,14663556200.0,14.69
AUS,X,2005,3.0,58863374365.0,58.98
AUS,X,2006,0.0,23075154374.0,19.83
AUS,X,2006,1.0,12542977148.0,10.78
AUS,X,2006,2.0,13479262484.0,11.58
AUS,X,2006,3.0,67285163688.0,57.81
AUS,X,2007,0.0,33127769379.0,24.79
AUS,X,2007,1.0,10803807014.0,8.08
AUS,X,2007,2.0,13687897405.0,10.24
AUS,X,2007,3.0,76022391635.0,56.89
AUS,X,2008,0.0,38355036362.0,21.69
AUS,X,2008,1.0,19126990355.0,10.82
AUS,X,2008,2.0,18934652744.0,10.71
AUS,X,2008,3.0,100402986199.0,56.78
AUS,X,2009,0.0,41165345700.0,28.06
AUS,X,2009,1.0,15846712407.0,10.8
AUS,X,2009,2.0,17011526413.0,11.59
AUS,X,2009,3.0,72703169806.0,49.55
AUS,X,2010,0.0,63377165432.0,31.4
AUS,X,2010,1.0,19046481227.0,9.44
AUS,X,2010,2.0,24058481792.0,11.92
AUS,X,2010,3.0,95336231862.0,47.24
AUS,X,2011,0.0,85151476917.0,33.15
AUS,X,2011,1.0,25579156190.0,9.96
AUS,X,2011,2.0,27332659006.0,10.64
AUS,X,2011,3.0,118815278266.0,46.25
AUS,X,2012,0.0,86506749038.0,35.29
AUS,X,2012,1.0,25559037230.0,10.43
AUS,X,2012,2.0,23312689420.0,9.51
AUS,X,2012,3.0,109779993466.0,44.78
AUS,X,2013,0.0,97228720496.0,45.79
AUS,X,2013,1.0,21264499005.0,10.01
AUS,X,2013,2.0,16810381359.0,7.92
AUS,X,2013,3.0,77031681878.0,36.28
AUS,X,2014,0.0,98305863232.0,43.4
AUS,X,2014,1.0,19711210283.0,8.7
AUS,X,2014,2.0,17710727004.0,7.82
AUS,X,2014,3.0,90798745692.0,40.08
AUS,X,2015,0.0,75114967395.0,42.67
AUS,X,2015,1.0,13591505780.0,7.72
AUS,X,2015,2.0,16540264487.0,9.4
AUS,X,2015,3.0,70799479586.0,40.22
AUS,X,2016,0.0,78226143508.0,43.94
AUS,X,2016,1.0,12148129500.0,6.82
AUS,X,2016,2.0,16669070352.0,9.36
AUS,X,2016,3.0,70980223031.0,39.87
AUS,X,2017,0.0,87767208741.76399,46.3
AUS,X,2017,1.0,23620633385.498,12.46
AUS,X,2017,2.0,10651991632.289999,5.62
AUS,X,2017,3.0,67509740147.317,35.62
AUS,X,2018,0.0,90060637378.38101,45.16
AUS,X,2018,1.0,30695401532.824,15.39
AUS,X,2018,2.0,8672862023.539,4.35
AUS,X,2018,3.0,69977445524.443,35.09
AUS,X,2019,0.0,99508925970.941,47.07
AUS,X,2019,1.0,28930666890.596,13.68
AUS,X,2019,2.0,7369727070.095,3.49
AUS,X,2019,3.0,75602414749.546,35.76
AUS,X,2020,0.0,103372773092.12201,48.36
AUS,X,2020,1.0,27490348219.744,12.86
AUS,X,2020,2.0,7503395494.692,3.51
AUS,X,2020,3.0,75406973287.717,35.27
AUS,X,2021,0.0,137291669231.05598,51.22
AUS,X,2021,1.0,31695146388.37,11.82
AUS,X,2021,2.0,11802892657.546,4.4
AUS,X,2021,3.0,87275139505.106,32.56
AUS,X,2022,0.0,129050508871.03699,42.67
AUS,X,2022,1.0,39297012753.388,12.99
AUS,X,2022,2.0,15236998236.956001,5.04
AUS,X,2022,3.0,118836354760.228,39.3
AUS,X,2023,0.0,141671367129.86,48.49
AUS,X,2023,1.0,35679711304.802,12.21
AUS,X,2023,2.0,20602067661.042,7.05
AUS,X,2023,3.0,94223398396.297,32.25
AUS,X,2024,0.0,125316361078.881,45.85
AUS,X,2024,1.0,43940902615.525,16.08
AUS,X,2024,2.0,37430929517.383,13.7
AUS,X,2024,3.0,66601475010.732,24.37
