Country Code,Time,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Control of Corruption: Estimate [CC.EST],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],"Tariff rate, applied, simple mean, all products (%) [TM.TAX.MRCH.SM.AR.ZS]",regime_0_M_share,regime_1_M_share,regime_2_M_share,regime_3_M_share,regime_0_X_share,regime_1_X_share,regime_2_X_share,regime_3_X_share,dist,memberships
SXM,2001,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.525,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2002,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.585,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2003,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.588,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2004,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.618,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2005,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.681,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2006,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,0.300601202404805,17.384164422040943,93.26654639445061,74.779,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2007,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,4.43245754245754,17.384164422040943,93.26654639445061,74.812,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2008,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,-0.417929020080758,17.384164422040943,93.26654639445061,74.852,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2009,36454.0882418033,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,5.95763688760801,17.384164422040943,93.26654639445061,74.796,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
SXM,2010,37736.4056795515,91.9783957985199,8.217294563106798,3.19999269219366,-0.013120438674396754,1.33857621672882,17.384164422040943,93.26654639445061,74.821,49.593594346430244,49.32209057290961,49.38346386152942,8.587607446808512,17.06910824742268,15.245053608247424,14.397345360824742,53.30866391752577,13.884246073298428,15.828583333333336,14.228316062176166,56.86925463917526,8324.396984924622,0.0
